1-1. 한달에 Ott 서비스 이용료로 대략 얼마를 지출하고 계시나요?,1. 현재 Ott 서비스를 이용하고 계시나요?,2. '코로나 19로 인한 사회적 거리두기 상황'으로 인해 Ott 서비스 이용률이 증가했다고 생각하시나요?,"3-1. 2020년 한국 미디어 패널 조사 결과에 따르면, 이용률 1위 Ott 서비스는 '유튜브'였습니다. 유튜브가 1위를 차지한 가장 큰 요인은 무엇이라고 생각하시나요?",3-2. 2020년 Ott서비스 이용률 2위를 차지한 '넷플릭스'의 신규 구독자 수 증가세는 최근 들어 둔화하고 있습니다. 넷플릭스의 신규 구독자 수 증가세가 감소하는 가장 큰 요인은 무엇이라고 생각하시나요?,"4-1. Ai 알고리즘 기술 (예: 유튜브 알고리즘, 넷플릭스 맞춤 콘텐츠 추천)의 가장 큰 장점이 무엇이라고 생각하시나요?",4-2. Ai 알고리즘 기술의 가장 큰 문제점이 무엇이라고 생각하시나요?,5. Ai 알고리즘 기술에 대한 선호도를 입력해주세요.,"6. 꼭! 보고 싶은 콘텐츠가 현재 이용 중인 A 플랫폼이 아닌 B 플랫폼에 등록되었을 때, 나의 결정은?1"
"~ 20,000원",네,네,개방적 구조,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
0원,네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,3,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 5,000원",네,네,맞춤형 추천 시스템,멤버십 요금 상승,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,기존의 플랫폼을 계속 이용함
"~ 10,000원",네,네,개방적 구조,Null,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,3,콘텐츠를 이용할 수 있는 다른 방법을 찾아 봄
"~ 5,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,선호하는 분야 이외의 영상을 보기 힘들다.,4,"기존 플랫폼 구독 기간이 종료되면, 새 플랫폼으로 갈아 탐"
"~ 20,000원",네,네,스낵 컬쳐,국내 OTT 서비스로의 유저 이동,보다 다양한 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 20,000원",네,네,프리미엄 정책의 도입,국내 OTT 서비스로의 유저 이동,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,2,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
0원,네,네,다양한 채널과 높은 품질의 콘텐츠,국내 OTT 서비스로의 유저 이동,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 5,000원",네,네,"커뮤니티, 소셜 네트워크 서비스",국내 OTT 서비스로의 유저 이동,보다 다양한 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",3,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,무료 체험 프로모션 종료,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,프리미엄 정책의 도입,국내 OTT 서비스로의 유저 이동,선호하는 분야의 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",3,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
0원,네,네,개방적 구조,멤버십 요금 상승,보다 다양한 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
0원,아니요,네,개방적 구조,무료 체험 프로모션 종료,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 10,000원",네,네,개방적 구조,멤버십 요금 상승,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,3,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,보다 다양한 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,5,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 10,000원",네,네,다양한 채널,새롭고 매력적인 콘텐츠의 부재,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,편향된 콘텐츠 소비를 부추기는 점,4,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,개방적 구조,무료 체험 프로모션 종료,보다 다양한 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,3,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,스낵 컬쳐,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,5,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,보다 다양한 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 5,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 5,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,3,기존의 플랫폼을 계속 이용함
"~ 10,000원",네,네,개방적 구조,국내 OTT 서비스로의 유저 이동,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,개방적 구조,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",3,기존의 플랫폼을 계속 이용함
"~ 5,000원",네,네,개방적 구조,국내 OTT 서비스로의 유저 이동,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,1,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,3,기존의 플랫폼을 계속 이용함
0원,네,네,다양한 채널과 높은 품질의 콘텐츠,무료 체험 프로모션 종료,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,아동에게 유해한 콘텐츠가 노출될 위험이 있는 점,5,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,"커뮤니티, 소셜 네트워크 서비스",새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,5,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
0원,네,네,다양한 채널과 높은 품질의 콘텐츠,무료 체험 프로모션 종료,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,기존의 플랫폼을 계속 이용함
0원,네,네,개방적 구조,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,국내 OTT 서비스로의 유저 이동,보다 다양한 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 20,000원",네,네,체계적인 수익 분배 구조,멤버십 요금 상승,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,기존의 플랫폼을 계속 이용함
"~ 20,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,멤버십 요금 상승,보다 다양한 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,3,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 5,000원",네,네,개방적 구조,제한적인 유형의 콘텐츠,보다 다양한 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",5,기존의 플랫폼을 계속 이용함
"~ 5,000원",네,네,개방적 구조,신규 유저 유입의 정체기,보다 다양한 콘텐츠 소비를 가능하게 함,아동에게 유해한 콘텐츠가 노출될 위험이 있는 점,3,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 5,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,국내 OTT 서비스로의 유저 이동,보다 다양한 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,기존의 플랫폼을 계속 이용함
"~ 10,000원",네,아니요,다양한 채널과 높은 품질의 콘텐츠,국내 OTT 서비스로의 유저 이동,보다 다양한 콘텐츠 소비를 가능하게 함,아동에게 유해한 콘텐츠가 노출될 위험이 있는 점,2,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
0원,네,네,다양한 채널과 높은 품질의 콘텐츠,국내 OTT 서비스로의 유저 이동,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,2,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 10,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 10,000원",네,네,프리미엄 정책의 도입,새롭고 매력적인 콘텐츠의 부재,보다 다양한 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 20,000원",네,네,개방적 구조,국내 OTT 서비스로의 유저 이동,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 10,000원",네,네,스낵 컬쳐,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,"개인정보 및 사용 데이터의 수집으로 인해, 프라이버시 침해가 우려되는 점",4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 20,000원",네,네,"커뮤니티, 소셜 네트워크 서비스",새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 10,000원",네,네,체계적인 수익 분배 구조,멤버십 요금 상승,선호하는 분야의 콘텐츠 소비를 가능하게 함,보고 싶지 않은 콘텐츠까지 추천 콘텐츠로 분류되는 점,4,기존의 플랫폼을 계속 이용함
0원,네,네,"커뮤니티, 소셜 네트워크 서비스",무료 체험 프로모션 종료,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 5,000원",네,네,다양한 채널과 높은 품질의 콘텐츠,국내 OTT 서비스로의 유저 이동,역주행 문화와 같은 새로운 미디어 문화 현상를 만들어 냄,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 10,000원",네,네,프리미엄 정책의 도입,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,아동에게 유해한 콘텐츠가 노출될 위험이 있는 점,4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
0원,네,네,개방적 구조,멤버십 요금 상승,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,3,"기존 플랫폼 구독을 그만두고, 새 플랫폼 구독을 시작함"
"~ 10,000원",네,네,체계적인 수익 분배 구조,국내 OTT 서비스로의 유저 이동,보다 다양한 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,4,"기존 플랫폼 구독을 유지한 채, 새 플랫폼 구독도 함께 시작함"
"~ 30,000원",네,네,체계적인 수익 분배 구조,새롭고 매력적인 콘텐츠의 부재,선호하는 분야의 콘텐츠 소비를 가능하게 함,편향된 콘텐츠 소비를 부추기는 점,3,기존의 플랫폼을 계속 이용함
